@relation bank_data-weka.filters.unsupervised.attribute.Remove-R1

@attribute age numeric
@attribute income numeric
@attribute children numeric
@attribute gender {FEMALE,MALE}
@attribute region {INNER_CITY,TOWN,RURAL,SUBURBAN}
@attribute married {NO,YES}
@attribute car {NO,YES}
@attribute savings_acct {NO,YES}
@attribute current_acct {NO,YES}
@attribute mortgage {NO,YES}
@attribute pep {YES,NO}

@data
48,17546,1,FEMALE,INNER_CITY,NO,NO,NO,NO,NO,YES
40,30085.1,3,MALE,TOWN,YES,YES,NO,YES,YES,NO
51,16575.4,0,FEMALE,INNER_CITY,YES,YES,YES,YES,NO,NO
23,20375.4,3,FEMALE,TOWN,YES,NO,NO,YES,NO,NO
57,50576.3,0,FEMALE,RURAL,YES,NO,YES,NO,NO,NO
57,37869.6,2,FEMALE,TOWN,YES,NO,YES,YES,NO,YES
22,8877.07,0,MALE,RURAL,NO,NO,NO,YES,NO,YES
58,24946.6,0,MALE,TOWN,YES,YES,YES,YES,NO,NO
37,25304.3,2,FEMALE,SUBURBAN,YES,YES,NO,NO,NO,NO
54,24212.1,2,MALE,TOWN,YES,YES,YES,YES,NO,NO
66,59803.9,0,FEMALE,TOWN,YES,NO,YES,YES,NO,NO
52,26658.8,0,FEMALE,INNER_CITY,NO,YES,YES,YES,YES,NO
44,15735.8,1,FEMALE,TOWN,YES,NO,YES,YES,YES,YES
66,55204.7,1,FEMALE,TOWN,YES,YES,YES,YES,YES,YES
36,19474.6,0,MALE,RURAL,YES,NO,YES,YES,YES,NO
38,22342.1,0,FEMALE,INNER_CITY,YES,YES,YES,YES,YES,NO
37,17729.8,2,FEMALE,TOWN,YES,NO,NO,NO,YES,NO
46,41016,0,FEMALE,SUBURBAN,YES,NO,YES,NO,YES,NO
62,26909.2,0,FEMALE,INNER_CITY,YES,NO,YES,NO,NO,YES
31,22522.8,0,MALE,TOWN,YES,YES,YES,YES,NO,NO
61,57880.7,2,MALE,INNER_CITY,YES,NO,YES,NO,NO,YES
50,16497.3,2,MALE,TOWN,YES,NO,YES,YES,NO,NO
54,38446.6,0,MALE,INNER_CITY,YES,NO,YES,YES,NO,NO
27,15538.8,0,FEMALE,TOWN,NO,YES,YES,YES,YES,NO
