@relation bank_new-weka.filters.unsupervised.attribute.Remove-R1

@attribute age numeric
@attribute income numeric
@attribute children numeric
@attribute gender {FEMALE,MALE}
@attribute region {INNER_CITY,TOWN,RURAL,SUBURBAN}
@attribute married {NO,YES}
@attribute car {NO,YES}
@attribute savings_acct {NO,YES}
@attribute current_acct {NO,YES}
@attribute mortgage {NO,YES}
@attribute pep {YES,NO}

@data
23,18766.9,0,MALE,INNER_CITY,YES,YES,YES,NO,YES,?
30,9915.67,1,MALE,RURAL,NO,NO,YES,NO,YES,?
45,21881.6,0,FEMALE,RURAL,NO,YES,YES,YES,NO,?
50,46794.4,2,MALE,TOWN,YES,NO,YES,NO,YES,?
41,20721.1,0,FEMALE,INNER_CITY,YES,YES,YES,YES,NO,?
20,16688.5,1,MALE,INNER_CITY,NO,NO,YES,YES,YES,?
46,39068,0,FEMALE,RURAL,YES,YES,YES,NO,YES,?
50,27740.8,1,FEMALE,INNER_CITY,YES,YES,YES,NO,YES,?
42,33584.9,3,MALE,INNER_CITY,NO,YES,YES,NO,NO,?
57,19621.3,1,FEMALE,TOWN,YES,YES,NO,YES,NO,?
63,47630.9,0,FEMALE,INNER_CITY,YES,NO,YES,NO,YES,?
26,22378.5,0,FEMALE,INNER_CITY,NO,YES,NO,YES,YES,?
62,20837.1,0,FEMALE,RURAL,YES,YES,YES,YES,NO,?
26,23912.7,0,FEMALE,SUBURBAN,YES,YES,YES,YES,NO,?
19,8005.13,1,MALE,RURAL,YES,NO,YES,YES,NO,?
44,34961.7,1,MALE,TOWN,YES,NO,NO,NO,YES,?
32,24627.6,0,FEMALE,INNER_CITY,YES,YES,YES,YES,YES,?
56,47315.3,3,FEMALE,RURAL,YES,YES,YES,NO,NO,?
26,13196.2,3,MALE,TOWN,YES,NO,YES,YES,NO,?
43,20528.9,3,FEMALE,TOWN,NO,YES,NO,YES,NO,?
40,37227.8,1,MALE,TOWN,NO,YES,YES,YES,NO,?
29,21022.6,2,FEMALE,INNER_CITY,YES,NO,NO,YES,NO,?
54,49986.7,1,MALE,RURAL,YES,YES,YES,YES,NO,?
51,44199.9,0,MALE,RURAL,YES,YES,YES,YES,YES,?
24,20050.2,3,FEMALE,INNER_CITY,YES,YES,YES,NO,NO,?
20,13013.9,2,FEMALE,SUBURBAN,NO,NO,YES,NO,YES,?
48,39465.8,0,FEMALE,TOWN,YES,YES,NO,NO,NO,?
52,39387.7,0,FEMALE,RURAL,YES,NO,YES,YES,YES,?
58,41114.2,2,MALE,RURAL,YES,YES,YES,YES,YES,?
25,11171,0,FEMALE,INNER_CITY,NO,YES,YES,YES,NO,?
32,23805.5,0,MALE,RURAL,NO,YES,YES,NO,NO,?
31,20979.5,2,FEMALE,TOWN,YES,NO,YES,YES,NO,?
18,10523.3,0,MALE,SUBURBAN,YES,NO,NO,NO,YES,?
35,12403,1,MALE,SUBURBAN,YES,NO,YES,YES,NO,?
47,21935.7,0,FEMALE,INNER_CITY,YES,YES,YES,NO,NO,?
63,54182.5,0,MALE,INNER_CITY,YES,NO,YES,YES,NO,?
47,20628,0,FEMALE,TOWN,YES,YES,NO,YES,NO,?
33,28589.4,0,MALE,INNER_CITY,YES,NO,YES,YES,YES,?
28,26201.6,2,FEMALE,TOWN,NO,YES,NO,YES,NO,?
36,18038,3,FEMALE,TOWN,YES,NO,NO,YES,YES,?
44,26553.5,1,MALE,SUBURBAN,NO,NO,NO,NO,NO,?
45,26956,0,FEMALE,INNER_CITY,NO,NO,YES,NO,YES,?
66,43720.4,1,MALE,INNER_CITY,NO,NO,YES,NO,YES,?
60,27372.7,1,FEMALE,INNER_CITY,YES,YES,NO,YES,NO,?
