id,age,income,children,gener,region,married,car,savings_acct,current_acct,mortgage,pep,predicted,probability,distribution
ID12712,26,22378.5,0,FEMALE,INNER_CITY,NO,YES,NO,YES,YES,?,1:YES,*1,0
ID12756,58,37681.4,0,MALE,SUBURBAN,NO,YES,NO,YES,YES,?,1:YES,*1,0
ID12810,20,18824.1,0,FEMALE,INNER_CITY,NO,NO,NO,YES,YES,?,1:YES,*1,0
ID12898,54,29348.8,0,MALE,RURAL,NO,NO,NO,YES,YES,?,1:YES,*1,0
ID12718,56,47315.3,3,FEMALE,RURAL,YES,YES,YES,NO,NO,?,1:YES,*1,0
ID12761,64,60176.1,3,MALE,RURAL,YES,NO,YES,YES,NO,?,1:YES,*1,0
ID12706,20,16688.5,1,MALE,INNER_CITY,NO,NO,YES,YES,YES,?,1:YES,*0.955,0.045
ID12721,40,37227.8,1,MALE,TOWN,NO,YES,YES,YES,NO,?,1:YES,*0.955,0.045
ID12741,44,26553.5,1,MALE,SUBURBAN,NO,NO,NO,NO,NO,?,1:YES,*0.955,0.045
ID12743,66,43720.4,1,MALE,INNER_CITY,NO,NO,YES,NO,YES,?,1:YES,*0.955,0.045
ID12745,52,16700.2,1,FEMALE,TOWN,NO,YES,YES,YES,YES,?,1:YES,*0.955,0.045
ID12746,61,26527.9,1,MALE,INNER_CITY,NO,NO,NO,YES,NO,?,1:YES,*0.955,0.045
ID12760,31,23633.3,1,MALE,INNER_CITY,NO,YES,NO,YES,YES,?,1:YES,*0.955,0.045
ID12781,44,23790.4,1,MALE,TOWN,NO,NO,YES,YES,NO,?,1:YES,*0.955,0.045
ID12782,44,39202.2,1,MALE,RURAL,NO,YES,YES,YES,YES,?,1:YES,*0.955,0.045
ID12797,65,47289.2,1,FEMALE,SUBURBAN,NO,YES,YES,YES,NO,?,1:YES,*0.955,0.045
ID12798,37,31979.9,1,MALE,INNER_CITY,NO,NO,YES,NO,YES,?,1:YES,*0.955,0.045
ID12804,60,19849,1,MALE,INNER_CITY,NO,NO,YES,YES,NO,?,1:YES,*0.955,0.045
ID12830,46,17049.3,1,FEMALE,INNER_CITY,NO,NO,YES,NO,NO,?,1:YES,*0.955,0.045
ID12849,56,37699.6,1,FEMALE,RURAL,NO,NO,YES,NO,NO,?,1:YES,*0.955,0.045
ID12868,29,25076.7,1,FEMALE,SUBURBAN,NO,NO,YES,YES,NO,?,1:YES,*0.955,0.045
ID12896,66,58792.6,1,MALE,INNER_CITY,NO,YES,YES,YES,YES,?,1:YES,*0.955,0.045
ID12708,50,27740.8,1,FEMALE,INNER_CITY,YES,YES,YES,NO,YES,?,1:YES,*0.955,0.045
ID12710,57,19621.3,1,FEMALE,TOWN,YES,YES,NO,YES,NO,?,1:YES,*0.955,0.045
ID12716,44,34961.7,1,MALE,TOWN,YES,NO,NO,NO,YES,?,1:YES,*0.955,0.045
ID12723,54,49986.7,1,MALE,RURAL,YES,YES,YES,YES,NO,?,1:YES,*0.955,0.045
ID12744,60,27372.7,1,FEMALE,INNER_CITY,YES,YES,NO,YES,NO,?,1:YES,*0.955,0.045
ID12763,51,16940.2,1,FEMALE,RURAL,YES,NO,YES,YES,NO,?,1:YES,*0.955,0.045
ID12764,46,41406.5,1,FEMALE,TOWN,YES,NO,YES,YES,NO,?,1:YES,*0.955,0.045
ID12774,42,23174.9,1,MALE,SUBURBAN,YES,YES,NO,NO,YES,?,1:YES,*0.955,0.045
ID12784,37,17629.3,1,MALE,SUBURBAN,YES,NO,YES,YES,YES,?,1:YES,*0.955,0.045
ID12838,41,38284.7,1,FEMALE,TOWN,YES,YES,NO,YES,NO,?,1:YES,*0.955,0.045
ID12848,22,16426.2,1,FEMALE,TOWN,YES,YES,YES,YES,YES,?,1:YES,*0.955,0.045
ID12851,41,18093.4,1,FEMALE,SUBURBAN,YES,NO,NO,YES,YES,?,1:YES,*0.955,0.045
ID12854,45,16385.4,1,FEMALE,INNER_CITY,YES,YES,NO,NO,YES,?,1:YES,*0.955,0.045
ID12855,65,47199,1,FEMALE,INNER_CITY,YES,NO,YES,YES,NO,?,1:YES,*0.955,0.045
ID12882,35,15850.8,1,MALE,INNER_CITY,YES,YES,NO,NO,YES,?,1:YES,*0.955,0.045
ID12884,66,60635.6,1,FEMALE,INNER_CITY,YES,YES,YES,YES,YES,?,1:YES,*0.955,0.045
ID12703,45,21881.6,0,FEMALE,RURAL,NO,YES,YES,YES,NO,?,1:YES,*0.938,0.063
ID12730,25,11171,0,FEMALE,INNER_CITY,NO,YES,YES,YES,NO,?,1:YES,*0.938,0.063
ID12731,32,23805.5,0,MALE,RURAL,NO,YES,YES,NO,NO,?,1:YES,*0.938,0.063
ID12747,65,58002.2,0,FEMALE,INNER_CITY,NO,NO,YES,YES,NO,?,1:YES,*0.938,0.063
ID12753,40,32089.9,0,FEMALE,INNER_CITY,NO,NO,YES,YES,NO,?,1:YES,*0.938,0.063
ID12770,28,17846.2,0,MALE,INNER_CITY,NO,NO,YES,YES,NO,?,1:YES,*0.938,0.063
ID12771,23,18233.1,0,MALE,INNER_CITY,NO,YES,NO,NO,NO,?,1:YES,*0.938,0.063
ID12778,64,29107.5,0,MALE,TOWN,NO,YES,NO,YES,NO,?,1:YES,*0.938,0.063
ID12786,18,15800.6,0,FEMALE,TOWN,NO,YES,NO,YES,NO,?,1:YES,*0.938,0.063
ID12808,58,40491.4,0,FEMALE,SUBURBAN,NO,YES,YES,YES,NO,?,1:YES,*0.938,0.063
ID12811,67,39137,0,MALE,INNER_CITY,NO,YES,YES,NO,NO,?,1:YES,*0.938,0.063
ID12817,47,36766,0,MALE,INNER_CITY,NO,NO,NO,YES,NO,?,1:YES,*0.938,0.063
ID12818,54,44982.1,0,FEMALE,TOWN,NO,YES,YES,NO,NO,?,1:YES,*0.938,0.063
ID12821,60,27558.6,0,FEMALE,TOWN,NO,YES,YES,NO,NO,?,1:YES,*0.938,0.063
ID12823,33,12990.3,0,MALE,SUBURBAN,NO,YES,NO,YES,NO,?,1:YES,*0.938,0.063
ID12831,56,41523,0,FEMALE,INNER_CITY,NO,NO,YES,YES,NO,?,1:YES,*0.938,0.063
ID12840,26,12170.8,0,MALE,SUBURBAN,NO,YES,NO,YES,NO,?,1:YES,*0.938,0.063
